ct_pickup,n_rides,avg_fare_amount,avg_trip_distance,avg_trip_time_in_secs,total_passengers,period_id
1003400,10,7.15,1.2710000000000001,456.1,16,1_38_
1003601,2,6.5,1.09,387.0,2,1_38_
1003602,7,10.214285714285714,2.1457142857142855,729.8571428571429,22,1_38_
1003700,19,10.18421052631579,2.241578947368421,679.3684210526316,45,1_38_
1003800,10,8.55,1.7440000000000002,525.1,14,1_38_
1003900,20,10.325,2.1975000000000002,689.1,37,1_38_
1004001,8,8.625,1.73,559.125,8,1_38_
1004002,10,5.75,0.924,314.0,17,1_38_
1004100,11,12.227272727272727,2.5327272727272727,893.4545454545455,23,1_38_
1004200,13,7.538461538461538,1.3407692307692307,508.9230769230769,24,1_38_
1004300,19,9.5,1.8636842105263156,671.6842105263158,32,1_38_
1004400,3,9.0,1.8666666666666665,555.3333333333334,3,1_38_
1004500,4,9.125,1.56,676.75,9,1_38_
1004700,12,10.958333333333334,2.276666666666667,771.3333333333334,16,1_38_
1004800,15,8.166666666666666,1.6346666666666667,509.2,39,1_38_
1004900,23,9.847826086956522,2.059565217391304,683.3913043478261,44,1_38_
1005000,25,10.9,2.2672,778.36,34,1_38_
1005200,36,8.402777777777779,1.635,557.3055555555555,51,1_38_
1005400,30,9.283333333333333,1.8896666666666666,618.8,47,1_38_
1005501,9,9.722222222222221,1.9366666666666665,685.5555555555555,15,1_38_
1005502,12,12.291666666666666,2.5483333333333333,891.75,27,1_38_
1005600,35,8.614285714285714,1.5845714285714285,593.2,65,1_38_
1005700,14,6.821428571428571,1.1771428571428573,442.42857142857144,29,1_38_
1005800,37,8.121621621621621,1.4586486486486485,564.1351351351351,59,1_38_
1005900,14,8.428571428571429,1.5435714285714286,589.7857142857143,26,1_38_
1006000,1,10.5,1.9,841.0,1,1_38_
1006100,18,9.333333333333334,1.8894444444444443,647.0,42,1_38_
1006200,7,8.285714285714286,1.6199999999999999,520.5714285714286,8,1_38_
1006300,14,8.75,1.7249999999999999,587.0,21,1_38_
1006400,9,8.0,1.2444444444444445,545.4444444444445,13,1_38_
1006500,15,8.066666666666666,1.5953333333333333,536.2,22,1_38_
1006600,9,6.611111111111111,1.078888888888889,411.0,13,1_38_
1006700,10,10.9,2.254,800.9,15,1_38_
1006800,28,9.053571428571429,1.882142857142857,574.8928571428571,41,1_38_
1006900,6,9.75,1.8383333333333332,749.1666666666666,7,1_38_
1007001,5,6.6,1.284,384.6,9,1_38_
1007002,9,8.944444444444445,1.7822222222222222,592.7777777777778,19,1_38_
1007100,16,7.75,1.475,490.9375,29,1_38_
1007200,35,9.757142857142858,2.0665714285714287,658.9714285714285,60,1_38_
1007300,13,9.692307692307692,1.863846153846154,712.3846153846154,19,1_38_
1007400,40,8.425,1.5755,571.075,67,1_38_
1007500,4,6.5,1.06,405.5,4,1_38_
1007600,22,10.068181818181818,2.079090909090909,701.8181818181819,48,1_38_
1007700,10,8.7,1.73,573.2,12,1_38_
1007800,21,10.547619047619047,1.618095238095238,564.3333333333334,40,1_38_
1007900,15,10.6,2.048,792.9333333333333,22,1_38_
1008000,36,9.805555555555555,1.9258333333333333,683.4166666666666,68,1_38_
1008100,20,7.575,1.3664999999999998,489.3,29,1_38_
1008200,28,10.392857142857142,2.1439285714285714,749.75,46,1_38_
1008300,24,9.583333333333334,1.8908333333333334,688.4166666666666,43,1_38_
1008400,25,9.18,1.7192,650.2,55,1_38_
1008601,2,7.5,1.645,372.5,6,1_38_
1008602,3,12.166666666666666,2.4966666666666666,947.0,4,1_38_
1008603,7,9.0,1.8385714285714285,641.0,20,1_38_
1008700,20,8.25,1.47,564.65,26,1_38_
1008800,29,9.10344827586207,1.880344827586207,603.5862068965517,48,1_38_
1008900,9,8.61111111111111,1.6811111111111112,560.2222222222222,21,1_38_
1009000,30,9.016666666666667,1.824,618.3333333333334,61,1_38_
1009100,28,7.553571428571429,1.4653571428571428,471.75,38,1_38_
1009200,54,9.583333333333334,1.7990740740740743,694.9814814814815,102,1_38_
1009300,9,8.277777777777779,1.7944444444444443,511.0,15,1_38_
1009400,26,10.211538461538462,2.01,763.3846153846154,38,1_38_
1009500,17,7.294117647058823,1.3847058823529412,449.4117647058824,19,1_38_
1009600,30,10.133333333333333,1.844,755.7333333333333,44,1_38_
1009700,6,12.416666666666666,2.591666666666667,926.3333333333334,7,1_38_
1009800,27,9.833333333333334,2.067037037037037,668.7777777777778,58,1_38_
1009901,17,10.029411764705882,2.03,694.7647058823529,28,1_38_
1009902,15,10.066666666666666,1.8573333333333333,734.2,24,1_38_
1009903,4,8.5,1.7125,561.0,6,1_38_
1010000,56,9.544642857142858,1.8014285714285714,687.0357142857143,99,1_38_
1010100,63,11.055555555555555,2.2526984126984124,808.4761904761905,95,1_38_
1010200,32,12.28125,2.2625,965.46875,52,1_38_
1010300,9,10.38888888888889,2.0155555555555558,772.0,14,1_38_
1010400,38,11.855263157894736,2.2702631578947368,902.8157894736842,66,1_38_
1010601,5,13.0,2.5260000000000002,1027.6,8,1_38_
1010602,9,7.722222222222222,1.52,508.3333333333333,13,1_38_
1010801,9,10.222222222222221,2.0922222222222224,727.3333333333334,19,1_38_
1010802,11,8.045454545454545,1.6045454545454545,501.90909090909093,24,1_38_
1010803,7,11.285714285714286,2.244285714285714,860.4285714285714,12,1_38_
1010900,22,8.568181818181818,1.5654545454545454,596.7727272727273,36,1_38_
1011000,19,6.684210526315789,1.2826315789473686,381.2105263157895,26,1_38_
1011100,18,9.722222222222221,2.0638888888888887,674.8888888888889,22,1_38_
1011201,24,10.645833333333334,1.8454166666666667,817.4583333333334,42,1_38_
1011202,26,10.5,1.9415384615384614,787.7307692307693,34,1_38_
1011203,29,10.982758620689655,2.0637931034482757,850.2758620689655,49,1_38_
1011300,31,9.258064516129032,1.7545161290322582,653.516129032258,48,1_38_
1011401,17,9.058823529411764,1.571764705882353,660.3529411764706,22,1_38_
1011402,21,10.166666666666666,1.9590476190476191,727.5714285714286,36,1_38_
1011500,19,11.289473684210526,2.33,838.2105263157895,36,1_38_
1011600,12,11.25,2.4208333333333334,757.8333333333334,24,1_38_
1011700,9,8.11111111111111,1.5,528.6666666666666,11,1_38_
1011800,17,9.411764705882353,1.8576470588235292,633.3529411764706,23,1_38_
1011900,31,9.790322580645162,1.8612903225806452,713.4516129032259,40,1_38_
1012000,30,8.766666666666667,1.5883333333333334,621.2666666666667,49,1_38_
1012101,10,8.25,1.616,535.0,16,1_38_
1012102,15,8.5,1.65,551.5333333333333,39,1_38_
1012200,16,9.0,1.625,649.875,29,1_38_
1012400,28,9.517857142857142,1.7550000000000001,669.0,37,1_38_
1012500,40,10.4625,1.8997499999999998,792.4,59,1_38_
1012601,5,7.4,1.56,425.0,6,1_38_
1012602,17,8.970588235294118,1.658235294117647,623.0,38,1_38_
1012700,15,9.333333333333334,1.6546666666666667,672.9333333333333,38,1_38_
1012800,32,8.40625,1.516875,593.84375,45,1_38_
1012901,10,10.35,2.102,738.7,20,1_38_
1012902,3,10.5,2.3033333333333332,740.0,14,1_38_
1013000,13,9.423076923076923,1.6984615384615387,681.3846153846154,18,1_38_
1013100,35,12.771428571428572,2.5305714285714282,974.5714285714286,62,1_38_
1013202,2,6.25,1.3,330.0,2,1_38_
1013203,2,11.25,2.75,725.5,2,1_38_
1013300,6,10.75,2.31,719.8333333333334,17,1_38_
1013400,20,8.975,1.7120000000000002,611.45,34,1_38_
1013501,11,7.5,1.4354545454545453,434.72727272727275,20,1_38_
1013502,9,11.166666666666666,2.1522222222222225,836.4444444444445,13,1_38_
1013601,3,7.0,1.4066666666666665,456.0,8,1_38_
1013602,3,8.666666666666666,1.6499999999999997,631.6666666666666,7,1_38_
1013603,8,9.5625,1.83875,688.875,21,1_38_
1013604,3,11.166666666666666,1.89,880.0,8,1_38_
1013700,61,10.073770491803279,1.8334426229508198,761.7377049180328,97,1_38_
1013800,15,11.4,2.393333333333333,819.6,29,1_38_
1013900,23,10.08695652173913,1.7752173913043479,772.1739130434783,30,1_38_
1014000,30,8.316666666666666,1.4386666666666665,574.1666666666666,59,1_38_
1014200,33,9.257575757575758,1.6900000000000002,641.5757575757576,50,1_38_
1014300,54,10.027777777777779,1.8577777777777778,719.925925925926,88,1_38_
1014401,2,13.5,3.48,810.0,2,1_38_
1014402,7,9.357142857142858,1.8571428571428572,629.8571428571429,8,1_38_
1014500,31,9.935483870967742,1.7903225806451613,745.1935483870968,56,1_38_
1014601,11,8.636363636363637,1.6318181818181818,596.4545454545455,12,1_38_
1014602,8,10.8125,2.18875,789.375,12,1_38_
1014700,4,7.25,1.4,426.25,4,1_38_
1014801,11,6.5,1.0145454545454546,388.09090909090907,14,1_38_
1014802,17,9.294117647058824,1.7264705882352942,644.4117647058823,40,1_38_
1014900,20,8.775,1.6620000000000001,587.5,39,1_38_
1015001,9,9.555555555555555,1.8299999999999998,644.1111111111111,19,1_38_
1015002,25,9.74,2.032,628.56,31,1_38_
1015101,1,4.0,0.4,180.0,1,1_38_
1015102,7,9.857142857142858,1.8828571428571428,689.7142857142857,18,1_38_
1015200,8,8.375,1.5675,541.5,18,1_38_
1015301,8,10.375,1.995,766.375,13,1_38_
1015302,13,9.846153846153847,1.8699999999999999,706.2307692307693,28,1_38_
1015401,4,10.875,1.9525,822.0,4,1_38_
1015402,4,15.125,3.5,1110.0,5,1_38_
1015403,1,8.0,1.4,540.0,1,1_38_
1015501,5,12.1,2.864,836.0,12,1_38_
1015502,5,8.5,1.6439999999999997,524.8,6,1_38_
1015601,2,9.25,1.8,694.5,2,1_38_
1015602,2,7.5,1.3,469.5,2,1_38_
1015700,15,9.666666666666666,1.9020000000000001,688.4666666666667,20,1_38_
