ct_dropoff,n_pooled,shared_ride_ids,avg_trip_distance,avg_fare_amount,avg_trip_time_in_secs,total_passengers,n_shared_rides,pooled_fraction,period_id
1008300,3,"[[8, 283252], [2473542, 2821432], [1798909, 1077556]]",1.96,9.333333333333334,606.6666666666666,8,6,0.02608695652173913,0_00_
1008400,1,"[[285175, 1803471]]",1.135,6.5,386.5,4,2,0.008695652173913044,0_00_
1008700,1,"[[328218, 286309]]",1.92,9.25,600.0,3,2,0.008695652173913044,0_00_
1008800,1,"[[316830, 285946]]",2.605,9.5,540.0,2,2,0.008695652173913044,0_00_
1009000,4,"[[2473675, 279517], [294914, 2821575], [154615, 1056108], [1793375, 2473500]]",1.18,6.75,409.0,17,8,0.034782608695652174,0_00_
1009100,3,"[[328380, 1086188], [280693, 1800649], [1799401, 38]]",1.9333333333333333,8.5,490.0,8,6,0.02608695652173913,0_00_
1009200,1,"[[1847373, 1799515]]",1.1,6.5,373.5,2,2,0.008695652173913044,0_00_
1009300,1,"[[1804612, 1799411]]",0.65,4.0,136.0,2,2,0.008695652173913044,0_00_
1009500,1,"[[1804014, 1805086]]",0.7,5.0,266.0,3,2,0.008695652173913044,0_00_
1009600,1,"[[279417, 283208]]",0.855,5.75,330.0,4,2,0.008695652173913044,0_00_
1009800,1,"[[286533, 1846611]]",0.88,6.25,376.0,2,2,0.008695652173913044,0_00_
1010100,5,"[[1804954, 284549], [279197, 285617], [284033, 283243], [279402, 2473689], [315966, 1078395]]",1.254,6.35,331.9,20,10,0.043478260869565216,0_00_
1010200,2,"[[285629, 2821590], [1798985, 279244]]",0.605,4.625,229.0,9,4,0.017391304347826087,0_00_
1010300,1,"[[303759, 316161]]",1.12,6.75,450.0,2,2,0.008695652173913044,0_00_
1010602,1,"[[1078507, 309886]]",0.865,5.75,311.5,6,2,0.008695652173913044,0_00_
1010801,1,"[[292251, 1804481]]",0.575,5.25,266.5,2,2,0.008695652173913044,0_00_
1010802,1,"[[1078682, 2473505]]",1.6,8.5,530.0,3,2,0.008695652173913044,0_00_
1010900,2,"[[279457, 22], [294520, 318375]]",1.3,6.375,375.75,4,4,0.017391304347826087,0_00_
1011000,1,"[[279510, 1800002]]",2.26,9.5,542.0,3,2,0.008695652173913044,0_00_
1011100,2,"[[282316, 1054377], [2473703, 278829]]",1.2025000000000001,6.375,354.5,4,4,0.017391304347826087,0_00_
1011300,1,"[[292291, 2821593]]",1.7650000000000001,7.75,454.5,7,2,0.008695652173913044,0_00_
1011500,2,"[[294923, 286494], [1798456, 1799638]]",1.1324999999999998,6.625,386.25,4,4,0.017391304347826087,0_00_
1011600,3,"[[1819339, 1808488], [294264, 1054663], [1088325, 2821447]]",2.206666666666667,8.833333333333334,494.8333333333333,6,6,0.02608695652173913,0_00_
