pickup_time,rides_pooled_fraction,vehicle_number_reduction,vehicle_miles_reduction,vehicle_time_reduction,pooled_passenger_fraction,avg_fare_amount_pooled,avg_fare_amount_rides,all_rides,pooled_rides,unpooled_rides,pooled_vans
2013-06-04 02:00,0.0625,0.9375,0.9289726691371837,0.9326938586824255,0.13312693498452013,6.916666666666666,7.634487734487735,208,26,182,13
2013-06-04 02:30,0.06451612903225806,0.9354838709677419,0.9265442584155512,0.9306674963171873,0.10743801652892562,7.35,8.009803921568627,155,20,135,10
2013-06-04 03:00,0.045454545454545456,0.9545454545454546,0.958122911699063,0.9618916290419606,0.0625,8.166666666666666,7.606037414965987,132,12,120,6
2013-06-04 03:30,0.024390243902439025,0.975609756097561,0.968895659983129,0.9670912581915323,0.08333333333333333,5.75,7.170061728395062,82,4,78,2
2013-06-04 04:00,0.06382978723404255,0.9361702127659575,0.9386203244317243,0.9366774128021306,0.18452380952380953,8.375,8.011522911051213,94,12,82,6
2013-06-04 04:30,0.0,1.0,1.0,1.0,0.109375,7.083333333333333,7.853395061728395,82,0,82,0
2013-06-04 05:00,0.02586206896551724,0.9741379310344828,0.9678245400206638,0.9697965057774723,0.2358974358974359,6.022321428571429,7.00534188034188,116,6,110,3
2013-06-04 05:30,0.07377049180327869,0.9221311475409836,0.9220588797958307,0.9276852834621379,0.4738292011019284,7.036974474474474,7.088754578754579,244,37,207,18
2013-06-04 06:00,0.12280701754385964,0.8574561403508771,0.8518170420251989,0.859127691491681,0.9215976331360947,7.380335884353741,7.5278345771518556,456,121,335,56
2013-06-04 06:30,0.158578856152513,0.8188908145580589,0.8033651514979536,0.8182888288400677,0.6142774899251583,8.472070297787658,8.871198984582303,1154,392,762,183
2013-06-04 07:00,0.16006423982869378,0.7997858672376874,0.7832066837137985,0.808017063695289,0.578748280605227,8.844304928312281,9.027944533397665,1868,673,1195,299
2013-06-04 07:30,0.18879415347137637,0.7754770604953309,0.7494244734051926,0.7773694504929001,0.39274331944103946,9.417268917268917,9.821476983040201,2463,1018,1445,465
2013-06-04 08:00,0.17421602787456447,0.7936507936507936,0.7560772464932655,0.7695765892528346,0.3012865497076023,9.175757814336158,10.741795071477352,2583,983,1600,450
2013-06-04 08:30,0.1680598328200616,0.8029036515618125,0.7597271550978947,0.7698587284435011,0.3311906092789268,9.088083158224581,11.040306787209788,2273,830,1443,382
2013-06-04 09:00,0.1605351170568562,0.8155757286192069,0.7961355062526911,0.8069011500677447,0.33759813899389357,9.962950492580122,10.684142642669519,2093,722,1371,336
2013-06-04 09:30,0.15779283639883834,0.8209099709583737,0.7909700107722846,0.7977623973353485,0.3061106284390385,9.2909891598916,10.708464766889158,2066,696,1370,326
2013-06-04 10:00,0.15644820295983086,0.8176532769556025,0.7762282785492897,0.7872343399415742,0.33354612192786465,9.251624338624339,11.320058550428588,1892,641,1251,296
2013-06-04 10:30,0.1533400809716599,0.8269230769230769,0.7963293596541556,0.806641651796805,0.2966656279214709,9.595267030423281,11.018969185682765,1976,645,1331,303
2013-06-04 11:00,0.14827201783723523,0.8355629877369007,0.7999405700925519,0.8097072840398876,0.31370038412291934,9.10829338181312,10.898039761305316,1794,561,1233,266
2013-06-04 11:30,0.1472,0.8346666666666667,0.8066020027448786,0.8106428025272977,0.2893830253679925,9.352324050240718,10.88463461807795,1875,586,1289,276
2013-06-04 12:00,0.13954741379310345,0.8426724137931034,0.8021580625924153,0.8070081591693496,0.3136543535620053,8.573036289394985,10.974500168458608,1856,551,1305,259
2013-06-04 12:30,0.14662273476112025,0.8341570565623284,0.7942214352383369,0.8039035671675139,0.3001285347043702,8.64937673751233,10.606936455712633,1821,569,1252,267
2013-06-04 13:00,0.1535365152386429,0.8269120184013801,0.7881169595578824,0.7956306901767959,0.35017064846416385,8.656972402597402,10.612532164458408,1739,568,1171,267
2013-06-04 13:30,0.1459660297239915,0.8296178343949044,0.8143542533045275,0.8178875714034005,0.31740942609810835,9.595526776776778,10.302481841705468,1884,596,1288,275
2013-06-04 14:00,0.14898295766904893,0.8350742166025289,0.7988345484242644,0.8102408653504359,0.3769280205655527,8.79129864311316,10.488573203251159,1819,571,1248,271
2013-06-04 14:30,0.16,0.819,0.7768264084781892,0.7874152238742433,0.3316478286734087,8.690555880822275,10.574490994465172,2000,682,1318,320
2013-06-04 15:00,0.1476923076923077,0.8358974358974359,0.8049385675008373,0.8102152116120358,0.27955133735979293,9.041999299719889,10.672995028335329,1950,608,1342,288
2013-06-04 15:30,0.14746800222593212,0.8397328881469115,0.8064389361637541,0.8072479533538504,0.2533375715193897,8.579853693813975,10.486618227039497,1797,553,1244,265
2013-06-04 16:00,0.13673088875077688,0.8514605344934743,0.830582631073877,0.8368061926833971,0.2522620340209917,9.078395061728395,10.052267127226651,1609,459,1150,220
2013-06-04 16:30,0.13277742142398974,0.8569595894804362,0.8335744590945119,0.8389002590840329,0.3380228136882129,8.994169444444443,10.320276033913542,1559,430,1129,207
