BoroCT2020,NTAName,NTA2020,GEOID,geometry_nyct,modzcta,label,zcta,pop_est,BoroCT2020_col
1004001,East Village,MN0303,36061004001,"POLYGON ((-73.98255608812923 40.731349584700354, -73.98306926604302 40.730654678730154, -73.98353572264483 40.73000718344719, -73.98399713702796 40.72936914186007, -73.98443141396534 40.72876789781953, -73.98485743166658 40.728176295476445, -73.98724957182284 40.72918562526572, -73.98680743543945 40.72977635230637, -73.98637430873046 40.7303791182916, -73.98590838821211 40.73101853844884, -73.98575279411325 40.731232402528676, -73.985443689962 40.73165726242585, -73.98494529534196 40.7323491255014, -73.98356031392308 40.73176967614543, -73.98346623502084 40.731730531727266, -73.98321446568089 40.73162361913864, -73.98296420013315 40.73152029312637, -73.98255608812923 40.731349584700354))",10003,10003,10003,54682.0,1004001
1004002,East Village,MN0303,36061004002,"POLYGON ((-73.98494529534196 40.7323491255014, -73.985443689962 40.73165726242585, -73.98575279411325 40.731232402528676, -73.98590838821211 40.73101853844884, -73.98637430873046 40.7303791182916, -73.98680743543945 40.72977635230637, -73.98724957182284 40.72918562526572, -73.98865151630122 40.729793607779406, -73.98891299810133 40.729905116767746, -73.9894682354408 40.730120445016965, -73.98905136012631 40.7307225286664, -73.98861268440223 40.73132204272915, -73.98815286302695 40.73196466906619, -73.98768299403265 40.73260316758729, -73.9871802805887 40.73329160280828, -73.98494529534196 40.7323491255014))",10003,10003,10003,54682.0,1004002
1004100,SoHo-Little Italy-Hudson Square,MN0201,36061004100,"POLYGON ((-73.99379574684379 40.72093703216949, -73.99383773022066 40.72083164413723, -73.99404136216263 40.72032047633531, -73.99407244185737 40.72024298764278, -73.99416786996505 40.720011343677356, -73.99423452030402 40.719851012966984, -73.99439847456699 40.71945660799852, -73.9948076036706 40.71845692887524, -73.9954285745844 40.717278748818245, -73.99580894049015 40.71664416758578, -73.99605854456017 40.71623114996657, -73.99698356856207 40.71654005356358, -73.99776267391891 40.716813439946634, -73.9985890678405 40.717099023857216, -73.99931222701294 40.717549754539654, -73.99995601590845 40.71801660810298, -73.99942311062136 40.71867978482565, -73.99923447407267 40.71891307753553, -73.99852307852959 40.719784653585705, -73.9976546206228 40.72083541185473, -73.9973989528855 40.721448661102094, -73.99712249673377 40.722300253996444, -73.99626796140389 40.721951443878034, -73.99546458959924 40.72161919906222, -73.99470494551568 40.72130803041187, -73.99385761020903 40.72096150937448, -73.99379574684379 40.72093703216949))",10012,10012,10012,23411.0,1004100
1004300,SoHo-Little Italy-Hudson Square,MN0201,36061004300,"POLYGON ((-73.99260302381522 40.724135935158166, -73.9926323515479 40.72405635035364, -73.99309170631555 40.722819574136075, -73.99325996701788 40.72235391688046, -73.99333897862464 40.72214063138865, -73.99336162139787 40.722079509228266, -73.99352712032326 40.72163275404527, -73.99379574684379 40.72093703216949, -73.99385761020903 40.72096150937448, -73.99470494551568 40.72130803041187, -73.99546458959924 40.72161919906222, -73.99626796140389 40.721951443878034, -73.99712249673377 40.722300253996444, -73.99798043685371 40.72266240448235, -73.99881151782058 40.72302090922366, -73.99778488275997 40.72423438966515, -73.99684275171117 40.7253473290448, -73.99677155001913 40.72543143435719, -73.99584556964209 40.7252078435045, -73.99532887444147 40.725083229006835, -73.99490806986272 40.724950717957924, -73.99417910247527 40.72469189467884, -73.99345749023988 40.724432382193065, -73.99267162548153 40.72415973997985, -73.99260302381522 40.724135935158166))",10012,10012,10012,23411.0,1004300
1005400,Midtown South-Flatiron-Union Square,MN0501,36061005400,"POLYGON ((-73.99051760277938 40.74026113475267, -73.9909449774911 40.73967282494505, -73.99137383511 40.739087638814446, -73.99179745225884 40.73850310718974, -73.99190115686152 40.738360679423494, -73.9919332643907 40.73831658302861, -73.99222461368642 40.73791643992363, -73.99265407616618 40.737329925467705, -73.99311930125995 40.73669050533815, -73.99361665209797 40.73600395350248, -73.9968396995167 40.737360354730534, -73.99634212873995 40.73804469493346, -73.99587385323868 40.73868540674036, -73.99544701532876 40.7392678430544, -73.99501774207103 40.73985946810395, -73.99459240410071 40.740441435164605, -73.99416053737286 40.74102827443044, -73.9939704710788 40.741297890413804, -73.99373329221915 40.741621651831544, -73.99051760277938 40.74026113475267))",10011,10011,10011,50472.0,1005400
1005501,Greenwich Village,MN0202,36061005501,"POLYGON ((-73.99657192633055 40.72955171522681, -73.99581215516723 40.72918001391398, -73.99506082062743 40.72881025276035, -73.99425257252055 40.72841193727452, -73.99475071834124 40.727818257696306, -73.99526942853669 40.72721084484003, -73.99584331775604 40.72652613139273, -73.99618727233064 40.72612050048284, -73.99641832204239 40.7258480177719, -73.99672045932691 40.72549169437509, -73.99677155001913 40.72543143435719, -73.9976099860856 40.72579663031578, -73.99836098125822 40.72616696065344, -73.99911803337086 40.72654180616015, -73.99991557626892 40.726934207227266, -73.99986286519727 40.726996368538494, -73.9989546678096 40.72806736206657, -73.99788563733298 40.72930992765998, -73.99735960629361 40.72994118841293, -73.99657192633055 40.72955171522681))",10012,10012,10012,23411.0,1005501
1005502,Greenwich Village,MN0202,36061005502,"POLYGON ((-73.99155187044413 40.727093814260265, -73.99156742407109 40.72703412430934, -73.99163832932852 40.72683273404427, -73.99179375840558 40.72639127438573, -73.99206088328992 40.7256440954941, -73.99221496488225 40.725232078018635, -73.99232747906447 40.724905580667205, -73.99257967499396 40.724201040211845, -73.99260302381522 40.724135935158166, -73.99267162548153 40.72415973997985, -73.99345749023988 40.724432382193065, -73.99417910247527 40.72469189467884, -73.99490806986272 40.724950717957924, -73.99532887444147 40.725083229006835, -73.99584556964209 40.7252078435045, -73.99677155001913 40.72543143435719, -73.99672045932691 40.72549169437509, -73.99641832204239 40.7258480177719, -73.99618727233064 40.72612050048284, -73.99584331775604 40.72652613139273, -73.99526942853669 40.72721084484003, -73.99475071834124 40.727818257696306, -73.99425257252055 40.72841193727452, -73.99314636051999 40.72786668047701, -73.99155187044413 40.727093814260265))",10012,10012,10012,23411.0,1005502
1005800,Midtown South-Flatiron-Union Square,MN0501,36061005800,"POLYGON ((-73.98729780813109 40.74468092942384, -73.98774659162069 40.74406496115437, -73.98819336594548 40.74345017226536, -73.98864420800072 40.742813552032324, -73.98896409798792 40.742377808807525, -73.98909604102425 40.742203137326854, -73.98931818978762 40.741913382111484, -73.9895754159401 40.74154752233454, -73.9900698176733 40.7408796892796, -73.99051760277938 40.74026113475267, -73.99373329221915 40.741621651831544, -73.99328948523772 40.74223372936339, -73.99280316027067 40.74290946559609, -73.99232157377222 40.74356753644044, -73.99206622138759 40.74391564497004, -73.99187077295183 40.74418501173853, -73.9914183331789 40.74480212105894, -73.99096807479869 40.74542032719035, -73.99051478068512 40.746039752012, -73.98872880500512 40.74528580633338, -73.98729780813109 40.74468092942384))",10001,"10001, 10118",10001,23072.0,1005800
1006700,West Village,MN0203,36061006700,"POLYGON ((-74.00095419301807 40.73170558475887, -74.00141219659955 40.73106474562466, -74.00168442841975 40.73058105372654, -74.0021563670892 40.729756284477645, -74.00220314760237 40.729652750170956, -74.00252580679688 40.72900741647572, -74.0027832887522 40.728434968872115, -74.00281704449549 40.72836262812972, -74.00312745230381 40.72839330124762, -74.00531346785338 40.7286039999437, -74.0070899822252 40.72877176338296, -74.006972760415 40.72949449907776, -74.00685659130947 40.730227742601585, -74.00673690171908 40.73094657016161, -74.00662383865149 40.731668881873496, -74.00586201014629 40.731599343340356, -74.00571042987569 40.73164020664268, -74.00510683915553 40.73183488143729, -74.0036117250686 40.732323287791885, -74.00351997944573 40.73235507996715, -74.00212104089131 40.73283813050548, -74.00166248504424 40.732318373569086, -74.00116629134385 40.7317742932714, -74.00095419301807 40.73170558475887))",10014,10014,10014,30738.0,1006700
1006800,Gramercy,MN0602,36061006800,"POLYGON ((-73.98085942329105 40.74196919183035, -73.9813115747318 40.741350350094855, -73.98176127926902 40.74073254077895, -73.98221111751565 40.74011396558891, -73.98266737190676 40.739497872469904, -73.98314632298242 40.73883124797916, -73.98363122630293 40.738164683104735, -73.98408190604256 40.737544956472895, -73.98498096578139 40.73792572328695, -73.9852851912873 40.73805419581814, -73.9853725746363 40.738091098196506, -73.9856741518919 40.738218450616735, -73.98642484129009 40.73853417897458, -73.98685322256424 40.73871419484213, -73.98722796901696 40.73887042158054, -73.98730131746439 40.738902469185426, -73.98703569603036 40.73926582038699, -73.98684895327449 40.73952126275249, -73.98636118396152 40.74018423956386, -73.98587889676136 40.740852436547804, -73.9854274425349 40.74146978241274, -73.98497751838488 40.742088389300264, -73.98452612941611 40.742706471495936, -73.98407461388958 40.7433241456009, -73.98400828191271 40.7432984455111, -73.98245497321024 40.74264638552658, -73.98085942329105 40.74196919183035))",10016,10016,10016,51057.0,1006800
